code,english_name,bangla_name,edible_portion_coefficient,energy_kcal,energy_kj,water_g,protein_g,fat_g,carbohydrate_available_g,total_dietary_fibre_g,ash_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,vitamin_a_mcg,retinol_mcg,beta_carotene_equiv_mcg,vitamin_d_mcg,vitamin_e_mg,thiamin_mg,riboflavin_mg,niacin_equiv_mg,vitamin_b6_mg,folate_mcg,vitamin_c_mg,source_pages
01_0001,Barley whole-grain ,যবের ছাতু,1,324,1360,11.7,10.9,2.2,56.4,17.3,1.5,26,5.5,133,264,452,4,2.77,0.5,1,0,13,0,0.9,0.47,0.2,7.8,0.318,34,0,"28,29,30"
01_0002,Bread / bun,বনরুটি / বান,1,270,1140,33,8.8,2.8,50.9,2.8,1.7,26,1,22,96,133,501,0.73,0.13,,,,,,,,,,,,"28,29,30"
01_0003,Bread white for toasting,পাউরুটি,1,272,1150,30.4,8,1.4,55.6,2.5,2.1,119,2.2,26,103,131,592,0.68,0.14,0,0,0,0,0.24,0.21,0.34,3.9,0.063,30,0,"28,29,30"
01_0004,Maize/corn flour whole white,ভুট্টা আটা,1,355,1500,10.9,6.9,3.9,69.6,7.3,1.5,7,2.4,93,272,315,5,1.73,0.23,0,0,0,0,0.42,0.25,0.08,2.6,0.37,25,0,"28,29,30"
01_0005,Maize/corn yellow dried ,ভুট্টা শুকনা,1,344,1450,13.1,9.9,3.4,64.7,7.3,1.6,12,2.9,143,329,248,14,3.27,0.43,11,0,129,0,0.49,0.39,0.11,2,0.622,20,0,"28,29,30"
01_0006,Millet Foxtail ,কাওন,1,344,1450,11.8,10.4,4.3,61.7,8.5,3.3,32,2.8,81,290,250,7,1.5,1.4,5,0,60,0,0.05,0.59,0.11,3.2,0.384,85,0,"28,29,30"
01_0007,Millet Proso whole-grain ,চীনা দানা,1,341,1440,12.5,11.2,4.2,60.3,8.5,3.3,14,5,114,285,195,5,2.3,0.75,0,0,0,0,0.05,0.42,0.29,6.7,0.384,85,0,"28,29,30"
01_0008,Pear millet whole-grain ,বাজরা দানা,1,349,1470,12.4,10.1,5,61.4,8.8,2.3,42,8,137,296,307,11,3.1,1.06,0,0,0,0,0.05,0.33,0.16,2.3,0.384,85,0,"28,29,30"
01_0009,Popcorn maize (salt added),পপকর্ন ভুট্টা,1,328,1380,13.7,10,3.1,58.6,12.9,1.6,10,2.8,135,349,294,785,3.7,0.23,7,0,80,0,0.2,0.09,0.07,1.5,0.14,28,0,"28,29,30"
01_0010,Rice flaked,চিরা,1,356,1510,9.9,6.5,1.1,79.2,1.3,2,25,6.8,47,130,150,2,1.36,0.37,,,,,,,,,,,,"28,29,30"
01_0011,Chira veja,চিরা ভেজা,1,105,444,73.2,2,0.3,23,0.9,0.6,8,2,14,39,45,1,0.4,0.11,,,,,,,,,,,,"28,29,30"
01_0012,Rice BR-28 parboiled milled ,বিআর-২৮ সিদ্ধ চাল,1,344,1454,12.4,6.5,0.4,76.8,3.4,0.5,9,0.7,43,126,146,2,1.32,0.2,0,0,0,0,0.11,0.21,0.05,4.6,0.168,11,0,"28,29,30"
01_0013,Rice BR-11 parboiled milled,বিআর-১১ সিদ্ধ চাল,1,345,1460,11.9,7.9,0.3,76.1,3.4,0.4,1,0.7,43,127,146,2,1.32,0.2,0,0,0,0,0.07,0.06,0.04,0.8,0.169,11,0,"31,32,33"
