source,code,name,lang,lang_bn,grup,enerc_kcal,water,protcnt,fatce,cho,fibtg,ash,ca,fe,mg,p,k,na,zn,cu,vita,retol,cartbeq,vitd,vite,thia,ribf,nia,vitb6c,folsum,vitc
FCT_2014,01_0001,Barley whole-grain,barley,বার্লি গোটা শস্য কাঁচা,Cereals and Millets,324,11.7,10.9,2.2,56.4,17.3,1.5,0.026,0.0055,0.133,0.264,0.452,0.004,0.00277,0.0005,1e-06,,1.3e-05,,0.0009,0.00047,0.0002,0.0078,0.000318,3.4e-05,
FCT_2014,01_0034,"Biscuit, sweet",misti buscuit,মিষ্টি বিস্কুট,Cereals and Millets,344,24.3,5.8,10,56.7,2.4,0.8,0.083,0.0021,0.032,0.131,0.116,0.083,0.00087,0.00013,,,,,0.00093,5e-05,3e-05,0.001,4.9e-05,7e-06,
FCT_2014,01_0002,"Bread, bun/roll",bun/roll,রুটি/রোল,Cereals and Millets,270,33,8.8,2.8,50.9,2.8,1.7,0.026,0.001,0.022,0.096,0.133,0.501,0.00073,0.00013,,,,,0.0005,0.00015,5e-05,0.0029,5.3e-05,2.9e-05,
FCT_2014,01_0003,"Bread, white, for toasting",pawruti,পাউরুটি,Cereals and Millets,272,30.4,8,1.4,55.6,2.5,2.1,0.119,0.0022,0.026,0.103,0.131,0.592,0.00068,0.00014,,,,,0.00024,0.00021,0.00034,0.0039,6.3e-05,3e-05,
FCT_2014,01_0004,"Maize/corn flour, whole, white",Vuttar ata,ভুট্টার আটা,Cereals and Millets,355,10.9,6.9,3.9,69.6,7.3,1.5,0.007,0.0024,0.093,0.272,0.315,0.005,0.00173,0.00023,,,,,0.00042,0.00025,8e-05,0.0026,0.00037,2.5e-05,
FCT_2014,01_0005,"Maize/corn, yellow, dried, raw",Shukno kasha vutta (holud),শুকনো কাঁচা ভুট্টা (হলুদ),Cereals and Millets,344,13.1,9.9,3.4,64.7,7.3,1.6,0.012,0.0029,0.143,0.329,0.248,0.014,0.00327,0.00043,1.1e-05,,0.000129,,0.00049,0.00039,0.00011,0.002,0.000622,2e-05,
FCT_2014,01_0006,"Millet, Foxtail, raw",Kaon chal,কাওন বা কাউন চাল,Cereals and Millets,344,11.8,10.4,4.3,61.7,8.5,3.3,0.032,0.0028,0.081,0.29,0.25,0.007,0.0015,0.0014,5e-06,,6e-05,,5e-05,0.00059,0.00011,0.0032,0.000384,8.5e-05,
FCT_2014,01_0007,"Millet, Proso, whole-grain, raw",Bajra proso,বাজরা প্রোসো গোটা শস্য কাঁচা,Cereals and Millets,341,12.5,11.2,4.2,60.3,8.5,3.3,0.014,0.005,0.114,0.285,0.195,0.005,0.0023,0.00075,,,,,5e-05,0.00042,0.00029,0.0067,0.000384,8.5e-05,
FCT_2014,01_0008,"Pear millet, whole-grain, raw",bajra,নাশপাতি বাজরা গোটা শস্য কাঁচা,Cereals and Millets,349,12.4,10.1,5,61.4,8.8,2.3,0.042,0.008,0.137,0.296,0.307,0.011,0.0031,0.00106,,,,,5e-05,0.00033,0.00016,0.0023,0.000384,8.5e-05,
FCT_2014,01_0035,Plain Khichuri,khicuri,খিচুড়ি,Cereals and Millets,163,65.7,5.1,7.4,17.7,2.5,1.6,0.013,0.0011,0.019,0.054,0.092,0.41,0.00069,0.00012,2.4e-05,2.1e-05,2.7e-05,1e-07,0.00013,8e-05,2e-05,0.0003,4.1e-05,4e-06,0.0002
FCT_2014,01_0036,Plain pulao,plain polao,প্লেইন পোলাও,Cereals and Millets,128,69.7,2.2,2.3,24.1,1.1,0.6,0.006,,0.016,0.039,0.027,0.167,0.00034,5e-05,,,,,0.0001,1e-05,1e-05,0.0003,4e-06,2e-06,0.0001
