Nutrient,Age_Group,Gender,RDA,Unit
Vitamin A,14-18,Male,900,µg
Vitamin A,19-30,Male,900,µg
Vitamin A,31-50,Male,900,µg
Vitamin A,51-70,Male,900,µg
Vitamin A,> 70,Male,900,µg
Vitamin A,14-18,Female,700,µg
Vitamin A,19-30,Female,700,µg
Vitamin A,31-50,Female,700,µg
Vitamin A,51-70,Female,700,µg
Vitamin A,> 70,Female,700,µg
Vitamin C,14-18,Male,75,mg
Vitamin C,19-30,Male,90,mg
Vitamin C,31-50,Male,90,mg
Vitamin C,51-70,Male,90,mg
Vitamin C,> 70,Male,90,mg
Vitamin C,14-18,Female,65,mg
Vitamin C,19-30,Female,75,mg
Vitamin C,31-50,Female,75,mg
Vitamin C,51-70,Female,75,mg
Vitamin C,> 70,Female,75,mg
Vitamin D,14-18,Male,15,µg
Vitamin D,19-30,Male,15,µg
Vitamin D,31-50,Male,15,µg
Vitamin D,51-70,Male,15,µg
Vitamin D,> 70,Male,20,µg
Vitamin D,14-18,Female,15,µg
Vitamin D,19-30,Female,15,µg
Vitamin D,31-50,Female,15,µg
Vitamin D,51-70,Female,15,µg
Vitamin D,> 70,Female,20,µg
Vitamin E,14-18,Male,15,mg
Vitamin E,19-30,Male,15,mg
Vitamin E,31-50,Male,15,mg
Vitamin E,51-70,Male,15,mg
Vitamin E,> 70,Male,15,mg
Vitamin E,14-18,Female,15,mg
Vitamin E,19-30,Female,15,mg
Vitamin E,31-50,Female,15,mg
Vitamin E,51-70,Female,15,mg
Vitamin E,> 70,Female,15,mg
Vitamin K,14-18,Male,75,µg
Vitamin K,19-30,Male,120,µg
Vitamin K,31-50,Male,120,µg
Vitamin K,51-70,Male,120,µg
Vitamin K,> 70,Male,120,µg
Vitamin K,14-18,Female,75,µg
Vitamin K,19-30,Female,90,µg
Vitamin K,31-50,Female,90,µg
Vitamin K,51-70,Female,90,µg
Vitamin K,> 70,Female,90,µg
Thiamine (B1),14-18,Male,1.2,mg
Thiamine (B1),19-30,Male,1.2,mg
Thiamine (B1),31-50,Male,1.2,mg
Thiamine (B1),51-70,Male,1.2,mg
Thiamine (B1),> 70,Male,1.2,mg
Thiamine (B1),14-18,Female,1,mg
Thiamine (B1),19-30,Female,1.1,mg
Thiamine (B1),31-50,Female,1.1,mg
