Disease,Recommended_Nutrients,Notes,References
Tonsillitis,"Fluids, Soft high-quality Protein, Vitamin C, Zinc, Antioxidants (flavonoids), Easy-to-digest Carbohydrates, Electrolytes (if fever/dehydration)","Emphasis on soft, soothing foods, adequate hydration, and protein for recovery.",WHO/CDC guidance on supportive care for respiratory infections; NIH ODS on vitamin C and zinc.
Common Cold,"Fluids, Vitamin C, Zinc, Protein, Antioxidants (flavonoids, carotenoids), Vitamin D, Electrolytes",Supportive nutrition to maintain hydration and immune function; evidence for supplements mixed.,NIH ODS; CDC common cold guidance.
Flu,"Fluids, Electrolytes, Protein, Vitamin C, Zinc, Vitamin D, Antioxidants, Easily digestible Carbohydrates",Hydration and maintaining energy/protein intake are priorities.,CDC influenza supportive care; NIH ODS.
COVID-19,"Fluids, Protein, Vitamin D (status correction), Vitamin C, Zinc, Antioxidants, Electrolytes, Omega-3 (modulate inflammation)",Maintain hydration and nutritional status; correct deficiencies under medical supervision.,NIH COVID-19 Treatment Guidelines (nutrition); ODS guidance on supplements.
Sinusitis,"Fluids, Vitamin C, Zinc, Antioxidants, Protein, Electrolytes (if febrile)",Hydration and immune-supporting micronutrients; avoid mucous-promoting foods if bothersome.,ENT supportive care guidelines; NIH ODS.
Strep Throat,"Fluids, Soft Protein, Vitamin C, Zinc, Antioxidants, Electrolytes if fever/dehydration",Antibiotics are primary treatment; nutrition is supportive.,CDC strep throat guidance.
Diarrhea,"Oral Rehydration (Water + Sodium + Glucose), Zinc, Potassium, Easily absorbed Carbohydrates (BRAT-type/complex carbs), Probiotics, Small amounts of Protein",Oral rehydration and zinc shown to reduce duration and severity (esp. children). Continue feeding where possible.,UNICEF/WHO ORS and zinc recommendations.
Constipation,"Dietary Fiber (soluble & insoluble), Water, Magnesium, Probiotics, Healthy Carbohydrates (whole grains), Fruit (sorbitol-containing)",Increase fluids and fiber gradually; physical activity also helps.,NICE and gastroenterology diet guidance.
Urinary Tract Infection (UTI),"Fluids (water), Cranberry polyphenols (adjunct), Vitamin C (urine acidification evidence mixed), Probiotics (Lactobacillus spp.), Avoid excessive sugar",Antibiotics are primary; hydration and some adjuncts may help prevention.,Cochrane reviews on cranberry and probiotics; clinical UTI guidance.
Malaria,"Fluids, Electrolytes, Protein, Iron only if proven deficiency (avoid routine iron in acute infection), Folic acid (with caution when on some antimalarials), Vitamin C",Treat infections promptly; iron supplementation only with confirmed deficiency and under supervision.,WHO malaria case management and nutrition guidance.
