code,name_en,name_bn,energy_kcal,protein_g,fat_g,carbohydrate_g,calcium_mg,iron_mg,vitamin_a_mcg,vitamin_c_mg,fiber_g,water_g
08_0015,"Guava, green, raw","Peyara, bivinno projati, kancha",63.0,1.0,0.5,10.9,17.0,0.7,33.0,228.3,5.4,81.4
03_0022,"Gourd, teasle, raw",Kakrol,61.0,1.9,0.5,11.8,27.0,2.6,14.0,142.8,1.1,83.7
08_0040,"Pomelo, raw",Zambura,38.0,0.4,0.3,7.7,36.0,0.2,3.0,121.7,1.0,89.9
03_0048,"Gourd, bitter, fry*","Gourd, bitter, fry*",130.0,3.1,9.1,7.1,27.0,2.9,30.0,103.2,4.1,74.0
08_0026,"Mango, Langra, yellow flesh, ripe, raw","Aam, Langra, paka",82.0,0.8,0.4,18.0,13.0,0.2,25.0,103.0,1.6,78.4
03_0010,"Chilli, green, with seeds, raw",Kancha morich,45.0,2.8,0.1,5.9,22.0,1.6,10.0,102.3,4.7,85.5
03_0039,"Gourd, teasle, boiled* (without salt)","Kakrol siddha, lobon chara",69.0,2.2,0.5,13.4,31.0,2.6,15.0,99.0,1.3,81.5
03_0009,"Cauliflower, raw",Fulkopi,27.0,2.6,0.3,2.5,33.0,0.8,1.0,72.7,2.0,91.8
08_0030,"Orange juice, raw (unsweetened) Komolar ross",,9.0,0.2,0.1,1.7,5.0,0.7,2.0,64.0,0.2,97.7
08_0035,"Papaya, ripe, raw","Pepe, paka",33.0,0.6,0.1,6.5,29.0,0.3,60.0,61.8,1.7,90.5
08_0031,"Orange, raw",Komola,44.0,0.7,0.2,8.7,23.0,0.2,19.0,54.0,2.4,87.7
08_0032,"Orange, sweet, ripe, raw","Malta, paka",49.0,0.2,0.1,10.7,31.0,0.1,11.0,54.0,2.4,86.3
08_0007,"Carambola, raw",Kamranga,41.0,0.5,0.7,6.7,10.0,0.8,7.0,49.4,2.8,88.7
08_0023,"Lime, sweet, raw",Mushambee,42.0,0.7,0.5,8.5,35.0,0.5,2.0,48.5,0.5,89.3
03_0036,"Cauliflower, boiled* (without salt)","Fulkopi siddha, lobon chara",28.0,2.7,0.3,2.7,36.0,0.8,1.0,46.6,2.1,91.4
08_0022,"Lemon, Kagoji, raw","Lebu, Kagoji",56.0,0.8,1.0,10.2,65.0,0.3,4.0,45.9,1.3,86.0
